Region	Chromosome	Start	End	Genes	Max_Fst	Max_Zscore	Max_position
48	NC_009147.3	41019000	41058000	['INTERGENIC_REGION', 'C1GALT1']	0.77388987	4.035039974199205	41048000
49	NC_009147.3	82932000	82932000	['PAX4']	0.72732568	3.5422045241242457	82932000
50	NC_009147.3	82936000	82977000	['INTERGENIC_REGION', 'SND1']	0.77569533	4.054148965286398	82945000
51	NC_009147.3	83476000	83476000	['INTERGENIC_REGION']	0.72403001	3.5073231483771634	83476000
52	NC_009147.3	83480000	83481000	['INTERGENIC_REGION']	0.72587328	3.526832320555605	83480000
53	NC_009147.3	83540000	83545000	['INTERGENIC_REGION']	0.72850921	3.5547310072484497	83541000
54	NC_009147.3	85262000	85271000	['COPG2']	0.76876093	3.980755266287236	85262000
55	NC_009148.3	1458000	1508000	['NFASC', 'LOC106783131', 'INTERGENIC_REGION']	0.77081194	4.002463158907256	1487000
56	NC_009148.3	5496000	5496000	['INTERGENIC_REGION']	0.72476833	3.515137528257912	5496000
57	NC_009148.3	5501000	5501000	['LOC111773442']	0.72691441	3.5378516418867947	5501000
58	NC_009148.3	5505000	5505000	['INTERGENIC_REGION']	0.72340445	3.5007022204892544	5505000
59	NC_009148.3	72891000	72891000	['SPAG16']	0.72385191	3.5054381377357604	72891000
60	NC_009149.3	4286000	4286000	['SPAG16']	0.7244572	3.5118445279161943	4286000
61	NC_009149.3	4295000	4318000	['SPAG16']	0.74875292	3.7689904613275815	4309000
62	NC_009149.3	4320000	4375000	['SPAG16']	0.80297326	4.342858613379991	4348000
63	NC_009149.3	71165000	71215000	['ESPL1', 'INTERGENIC_REGION', 'PFDN5', 'C6H12orf10', 'AAAS', 'SP7']	0.84380509	4.775022757445081	71190000
64	NC_009149.3	72947000	72983000	['INTERGENIC_REGION']	0.77273586	4.022825930795015	72965000
65	NC_009149.3	73053000	73080000	['INTERGENIC_REGION']	0.79549219	4.263678958359852	73053000
66	NC_009149.3	73295000	73334000	['LOC100055688', 'INTERGENIC_REGION', 'LOC100055778']	0.74845	3.7657843556369914	73319000
67	NC_009149.3	80763000	80802000	['INTERGENIC_REGION']	0.78986763	4.204148607696098	80779000
68	NC_009150.3	20513000	20560000	['INTERGENIC_REGION', 'LOC106783370']	0.7804925	4.104922219068674	20535000
69	NC_009150.3	33127000	33176000	['INTERGENIC_REGION']	0.7558804	3.8444277193084515	33144000
70	NC_009150.3	75865000	75866000	['INTERGENIC_REGION']	0.73069237	3.5778375756475915	75865000
71	NC_009150.3	75875000	75879000	['INTERGENIC_REGION', 'LOC100629661']	0.76388624	3.929161540719887	75879000
72	NC_009150.3	87985000	87999000	['USH1C']	0.74046356	3.681255863851853	87998000
73	NC_009150.3	88001000	88027000	['USH1C', 'INTERGENIC_REGION', 'OTOG']	0.75048892	3.787364287680625	88020000
74	NC_009151.3	3613000	3657000	['LOC100054057', 'INTERGENIC_REGION']	0.82216625	4.545997245554935	3634000
75	NC_009151.3	3740000	3742000	['INTERGENIC_REGION']	0.84593242	4.797538421048549	3742000
76	NC_009151.3	18122000	18125000	['INTERGENIC_REGION']	0.73281258	3.6002778811614093	18124000
77	NC_009151.3	38178000	38211000	['INTERGENIC_REGION', 'APCDD1']	0.75710556	3.8573948144090817	38196000
78	NC_009151.3	71989000	72011000	['MYO5B']	0.73427691	3.61577635186622	72009000
79	NC_009151.3	84413000	84459000	['INTERGENIC_REGION']	0.80230428	4.335778128153229	84428000
80	NC_009152.3	77794000	77794000	['INTERGENIC_REGION']	0.72365316	3.5033345674663665	77794000
81	NC_009152.3	78301000	78348000	['INTERGENIC_REGION']	0.79999028	4.311286749016742	78324000
82	NC_009153.3	9433000	9440000	['SIPA1L3', 'INTERGENIC_REGION']	0.73626878	3.6368583066460802	9437000
83	NC_009153.3	10060000	10064000	['INTERGENIC_REGION']	0.72736437	3.542614019136688	10060000
84	NC_009153.3	45576000	45630000	['INTERGENIC_REGION']	0.83193555	4.6493955299966325	45611000
85	NC_009153.3	53926000	53973000	['GRIK2']	0.77483503	4.0450435489203125	53937000
87	NC_009156.3	17793000	17794000	['CALN1']	0.7270566	3.5393565810395247	17794000
88	NC_009156.3	32627000	32632000	['INTERGENIC_REGION']	0.74223794	3.7000359041769175	32630000
89	NC_009157.3	14170000	14171000	['INTERGENIC_REGION']	0.72452812	3.512595145292322	14171000
90	NC_009157.3	14173000	14179000	['INTERGENIC_REGION']	0.72765211	3.5456594596867017	14175000
91	NC_009157.3	82205000	82205000	['INTERGENIC_REGION']	0.72435431	3.5107555400167323	82205000
92	NC_009158.3	12303000	12317000	['INTERGENIC_REGION']	0.7450025	3.729296010964113	12309000
93	NC_009158.3	21072000	21074000	['LOC111768056']	0.72845442	3.5541511098141862	21073000
94	NC_009158.3	49722000	49725000	['INTERGENIC_REGION']	0.72443811	3.5116424793303187	49725000
95	NC_009158.3	49735000	49736000	['INTERGENIC_REGION']	0.72816404	3.551077727500593	49735000
96	NC_009158.3	57572000	57590000	['LOC111768117', 'INTERGENIC_REGION']	0.77374856	4.033544348967668	57580000
97	NC_009158.3	57643000	57644000	['INTERGENIC_REGION']	0.72537813	3.521591652284459	57644000
98	NC_009158.3	57661000	57716000	['INTERGENIC_REGION']	0.78976117	4.203021834911798	57706000
99	NC_009158.3	57728000	57758000	['INTERGENIC_REGION']	0.75090195	3.791735797760463	57738000
100	NC_009158.3	80668000	80676000	['INTERGENIC_REGION']	0.7427305	3.705249159884553	80672000
101	NC_009158.3	83347000	83377000	['GREB1']	0.77536254	4.050626715475321	83370000
102	NC_009158.3	84710000	84759000	['KLF11', 'INTERGENIC_REGION', 'GRHL1']	0.79912761	4.302156248567444	84751000
103	NC_009159.3	3309000	3309000	['INTERGENIC_REGION']	0.72470409	3.5144576120108386	3309000
104	NC_009159.3	3317000	3322000	['INTERGENIC_REGION']	0.72804251	3.5497914538158657	3319000
105	NC_009159.3	3325000	3351000	['INTERGENIC_REGION', 'IQSEC1']	0.75576279	3.843182934909039	3348000
106	NC_009159.3	4420000	4422000	['LOC111768288', 'INTERGENIC_REGION']	0.7255695	3.5236171126238496	4421000
107	NC_009159.3	68404000	68411000	['INTERGENIC_REGION']	0.7294765	3.5649688059195532	68410000
108	NC_009159.3	70372000	70374000	['TMEM108']	0.72441638	3.5114124889808647	70374000
109	NC_009159.3	74304000	74314000	['INTERGENIC_REGION']	0.73511266	3.624621930999029	74305000
110	NC_009160.3	11604000	11630000	['BRCA2']	0.74068138	3.6835612710270937	11627000
111	NC_009160.3	18257000	18262000	['INTERGENIC_REGION']	0.73043041	3.5750649906525207	18261000
112	NC_009160.3	18264000	18266000	['INTERGENIC_REGION']	0.72897617	3.559673312521386	18264000
113	NC_009160.3	18277000	18281000	['INTERGENIC_REGION']	0.73159947	3.5874383232771114	18279000
114	NC_009160.3	37750000	37796000	['INTERGENIC_REGION']	0.79473386	4.25565279261198	37775000
115	NC_009160.3	44527000	44529000	['INTERGENIC_REGION']	0.72501114	3.5177074296270265	44529000
116	NC_009160.3	44532000	44536000	['INTERGENIC_REGION']	0.72746244	3.5436519921496163	44534000
117	NC_009160.3	44693000	44698000	['INTERGENIC_REGION']	0.72657135	3.5342206943817964	44696000
118	NC_009160.3	45012000	45012000	['DACH1']	0.72347943	3.501495808910886	45012000
119	NC_009160.3	45016000	45022000	['DACH1']	0.73266996	3.5987683908880963	45020000
120	NC_009161.3	4302000	4358000	['INTERGENIC_REGION']	0.81620075	4.482858385469059	4320000
121	NC_009161.3	23772000	23790000	['LRP1B']	0.75694197	3.8556633776273457	23779000
122	NC_009161.3	23793000	23800000	['LRP1B']	0.73499681	3.6233957744420007	23798000
123	NC_009161.3	23809000	23812000	['LRP1B']	0.7253016	3.5207816586607272	23811000
124	NC_009163.3	28598000	28618000	['INTERGENIC_REGION']	0.74850585	3.7663754721126934	28608000
125	NC_009163.3	29562000	29562000	['INTERGENIC_REGION']	0.72351254	3.5018462451957637	29562000
126	NC_009163.3	29564000	29564000	['INTERGENIC_REGION']	0.72513678	3.5190372035573243	29564000
127	NC_009163.3	29568000	29596000	['INTERGENIC_REGION', 'LOC100057103', 'UBD']	0.77198206	4.014847710573283	29586000
128	NC_009163.3	45998000	46050000	['INTERGENIC_REGION', 'LOC100068322']	0.82112655	4.534993059345683	46035000
129	NC_009163.3	46072000	46079000	['LOC100068322']	0.7382056	3.657357612151324	46077000
130	NC_009163.3	46081000	46081000	['SLC25A27']	0.72673887	3.535993726288861	46081000
131	NC_009163.3	46110000	46121000	['SLC25A27']	0.76218218	3.9111257673701365	46118000
132	NC_009163.3	46128000	46193000	['SLC25A27', 'INTERGENIC_REGION', 'TDRD6', 'PLA2G7']	0.8652211	5.001689836313194	46153000
133	NC_009163.3	56361000	56391000	['KHDRBS2']	0.7731761	4.027485431551733	56387000
134	NC_009164.3	10927000	10955000	['INTERGENIC_REGION']	0.78803405	4.184741994490791	10946000
135	NC_009164.3	13144000	13179000	['INTERGENIC_REGION', 'LOC106782342', 'PDE4D']	0.78108074	4.111148152025997	13160000
136	NC_009164.3	24677000	24679000	['GHR']	0.72637684	3.5321620002781517	24678000
137	NC_009164.3	24689000	24725000	['GHR']	0.79794112	4.289598436799229	24720000
138	NC_009164.3	31309000	31309000	['CDH9']	0.72357173	3.5024727122359924	31309000
139	NC_009164.3	37141000	37159000	['CDH9']	0.74855594	3.7669056247405863	37147000
140	NC_009164.3	38706000	38774000	['INTERGENIC_REGION']	0.82849063	4.612934492047251	38733000
141	NC_009164.3	51961000	52005000	['INTERGENIC_REGION']	0.828502	4.613054832142662	51984000
142	NC_009164.3	53364000	53385000	['INTERGENIC_REGION']	0.74362334	3.714698979654744	53379000
143	NC_009164.3	54122000	54163000	['INTERGENIC_REGION']	0.75295186	3.813432047978992	54124000
144	NC_009165.3	48534000	48537000	['INTERGENIC_REGION']	0.72558904	3.523823924010335	48536000
145	NC_009165.3	48542000	48542000	['INTERGENIC_REGION']	0.72388839	3.5058242421052066	48542000
146	NC_009165.3	48544000	48608000	['INTERGENIC_REGION']	0.82678253	4.5948559593320235	48590000
147	NC_009165.3	48624000	48641000	['INTERGENIC_REGION']	0.76101187	3.8987392047438507	48632000
148	NC_009165.3	48643000	48644000	['INTERGENIC_REGION']	0.73364302	3.6090672592470208	48644000
149	NC_009166.3	5970000	5982000	['INTERGENIC_REGION']	0.73246337	3.5965818420480757	5980000
150	NC_009166.3	20606000	20628000	['APBA1']	0.74279265	3.7059069555687945	20609000
151	NC_009166.3	36728000	36740000	['INTERGENIC_REGION', 'LOC111770183']	0.7299692	3.5701835433873783	36731000
152	NC_009166.3	41323000	41330000	['INTERGENIC_REGION']	0.73771626	3.652178436928053	41326000
153	NC_009166.3	46354000	46376000	['INTERGENIC_REGION']	0.73362485	3.608874947942392	46368000
154	NC_009166.3	46513000	46515000	['INTERGENIC_REGION']	0.73111518	3.5823125972606853	46514000
155	NC_009166.3	46666000	46702000	['INTERGENIC_REGION']	0.75155163	3.798612011761064	46691000
156	NC_009166.3	48307000	48353000	['INTERGENIC_REGION']	0.80339788	4.347352792035538	48316000
157	NC_009166.3	48518000	48529000	['INTERGENIC_REGION']	0.7374343	3.649194171905872	48520000
158	NC_009169.3	15669000	15688000	['INTERGENIC_REGION']	0.75969288	3.8847790127960393	15678000
159	NC_009169.3	15700000	15725000	['INTERGENIC_REGION']	0.75848137	3.8719563893139104	15706000
160	NC_009169.3	15776000	15808000	['INTERGENIC_REGION']	0.78297333	4.131179327151289	15796000
161	NC_009169.3	16134000	16156000	['INTERGENIC_REGION']	0.74960663	3.7780261291247337	16136000
162	NC_009169.3	16159000	16159000	['INTERGENIC_REGION']	0.72445508	3.5118220898333217	16159000
163	NC_009169.3	16168000	16169000	['INTERGENIC_REGION']	0.72718683	3.540734935536043	16168000
164	NC_009169.3	18051000	18092000	['INTERGENIC_REGION']	0.79029161	4.2086360125907785	18076000
165	NC_009169.3	27723000	27725000	['INTERGENIC_REGION']	0.72500821	3.517676418503055	27723000
166	NC_009169.3	27737000	27741000	['INTERGENIC_REGION']	0.72933465	3.5634674653272835	27740000
167	NC_009169.3	31521000	31538000	['ITSN1']	0.73378724	3.6105936839225015	31526000
168	NC_009169.3	32131000	32151000	['KCNE2', 'INTERGENIC_REGION', 'SMIM11A']	0.73621291	3.636266978490352	32148000
169	NC_009170.3	9354000	9407000	['INTERGENIC_REGION']	0.7947978	4.256329533658647	9388000
170	NC_009170.3	17189000	17203000	['INTERGENIC_REGION']	0.76564281	3.9477530799808114	17196000
171	NC_009170.3	17213000	17238000	['INTERGENIC_REGION']	0.75686639	3.8548634388049017	17223000
172	NC_009171.3	3195000	3220000	['INTERGENIC_REGION']	0.7578942	3.8657417812380364	3207000
173	NC_009171.3	18673000	18696000	['INTERGENIC_REGION']	0.76497222	3.940655554511866	18694000
174	NC_009171.3	39750000	39784000	['LOC100056087', 'INTERGENIC_REGION', 'LOC100070962']	0.74195553	3.697046876354128	39778000
175	NC_009171.3	39789000	39791000	['LOC100147480']	0.72524773	3.520211498507709	39791000
176	NC_009172.3	23937000	23950000	['USP6NL']	0.74674419	3.7477300602848684	23941000
177	NC_009174.3	2869000	2872000	['INTERGENIC_REGION']	0.7324555	3.5964985459574086	2870000
178	NC_009174.3	9622000	9625000	['TULP4']	0.7345363	3.618521735977808	9625000
179	NC_009174.3	9631000	9632000	['TULP4']	0.72489423	3.5164700540285616	9632000
180	NC_009175.3	9244000	9244000	['INTERGENIC_REGION']	0.72608512	3.5290744354027415	9244000
181	NC_009175.3	13955000	13956000	['INTERGENIC_REGION']	0.72477562	3.5152146856277926	13956000
182	NC_009175.3	13958000	13968000	['INTERGENIC_REGION']	0.73037154	3.5744419104927267	13966000
183	NC_009175.3	14769000	14770000	['PHKA2']	0.72755134	3.5445929098701145	14770000
184	NC_009175.3	14778000	14778000	['SH3KBP1']	0.72560978	3.5240434361984465	14778000
185	NC_009175.3	15419000	15430000	['SH3KBP1']	0.73540214	3.6276857877114015	15428000
186	NC_009175.3	18051000	18131000	['INTERGENIC_REGION']	0.82719522	4.599223870851401	18113000
187	NC_009175.3	18137000	18172000	['INTERGENIC_REGION']	0.81160548	4.434222041560446	18147000
188	NC_009175.3	18177000	18177000	['INTERGENIC_REGION']	0.7244069	3.511312152648015	18177000
189	NC_009175.3	20282000	20311000	['INTERGENIC_REGION']	0.75229939	3.8065263046146076	20297000
190	NC_009175.3	21169000	21215000	['INTERGENIC_REGION']	0.76128966	3.901679334480378	21197000
191	NC_009175.3	21221000	21221000	['INTERGENIC_REGION']	0.72545812	3.5224382665528817	21221000
192	NC_009175.3	21628000	21651000	['INTERGENIC_REGION']	0.77166959	4.011540527669749	21650000
193	NC_009175.3	22213000	22243000	['INTERGENIC_REGION']	0.77179147	4.01283050575495	22240000
194	NC_009175.3	26285000	26295000	['DMD']	0.73327181	3.605138372103868	26288000
195	NC_009175.3	26475000	26497000	['INTERGENIC_REGION']	0.73775921	3.652633019786269	26491000
196	NC_009175.3	28338000	28393000	['INTERGENIC_REGION']	0.80682282	4.3836023616378395	28369000
197	NC_009175.3	33089000	33150000	['INTERGENIC_REGION']	0.78434436	4.145690310529637	33131000
198	NC_009175.3	33152000	33152000	['INTERGENIC_REGION']	0.72591571	3.5272813997331163	33152000
199	NC_009175.3	33156000	33165000	['INTERGENIC_REGION', 'LOC111771445']	0.73286952	3.600880534198589	33159000
200	NC_009175.3	35209000	35248000	['CASK']	0.86414202	4.9902688521305665	35215000
201	NC_009175.3	35344000	35344000	['CASK']	0.72892871	3.5591709958170568	35344000
202	NC_009175.3	35351000	35401000	['CASK']	0.76187512	3.9078758439139336	35361000
203	NC_009175.3	35424000	35453000	['INTERGENIC_REGION']	0.74689977	3.7493767192157472	35431000
204	NC_009175.3	36415000	36470000	['INTERGENIC_REGION']	0.86067296	4.953552316388465	36455000
205	NC_009175.3	40584000	40601000	['INTERGENIC_REGION', 'WDR13']	0.77727571	4.070875709348507	40594000
206	NC_009175.3	56791000	56836000	['INTERGENIC_REGION']	0.7927798	4.2349710189233685	56805000
207	NC_009175.3	62204000	62282000	['INTERGENIC_REGION']	0.83758749	4.709215670617498	62241000
208	NC_009175.3	62324000	62327000	['INTERGENIC_REGION']	0.72604994	3.5287020902350568	62326000
209	NC_009175.3	62625000	62672000	['INTERGENIC_REGION']	0.76662504	3.9581490036321654	62669000
210	NC_009175.3	62726000	62727000	['INTERGENIC_REGION']	0.72910583	3.561045634137132	62726000
211	NC_009175.3	62862000	62917000	['INTERGENIC_REGION']	0.83100915	4.639590511140954	62890000
212	NC_009175.3	63042000	63051000	['INTERGENIC_REGION']	0.73567073	3.63052854463546	63048000
213	NC_009175.3	63625000	63643000	['INTERGENIC_REGION']	0.80369397	4.35048660899687	63637000
214	NC_009175.3	63676000	63721000	['INTERGENIC_REGION']	0.81173156	4.43555647245134	63701000
215	NC_009175.3	63836000	63841000	['INTERGENIC_REGION']	0.75551514	3.8405618069733634	63837000
216	NC_009175.3	63852000	63920000	['INTERGENIC_REGION']	0.8339335	4.670541835504733	63879000
217	NC_009175.3	68432000	68452000	['LOC102150135']	0.77924398	4.0917078816963794	68441000
218	NC_009175.3	68460000	68509000	['INTERGENIC_REGION', 'ZNF711']	0.77491521	4.045892174148992	68468000
219	NC_009175.3	68568000	68568000	['INTERGENIC_REGION']	0.72624249	3.5307400396960467	68568000
220	NC_009175.3	68714000	68732000	['INTERGENIC_REGION']	0.75696049	3.855859393332449	68722000
221	NC_009175.3	69921000	69967000	['INTERGENIC_REGION']	0.76600098	3.9515439517462903	69929000
222	NC_009175.3	70059000	70084000	['INTERGENIC_REGION']	0.80696394	4.385095975909119	70070000
223	NC_009175.3	70960000	70999000	['INTERGENIC_REGION']	0.77103828	4.004858741774046	70984000
224	NC_009175.3	71969000	72014000	['INTERGENIC_REGION']	0.77073306	4.001628292880339	72000000
225	NC_009175.3	72030000	72033000	['INTERGENIC_REGION']	0.72604836	3.528685367512915	72030000
226	NC_009175.3	73535000	73536000	['INTERGENIC_REGION']	0.7250443	3.5180583951119724	73535000
227	NC_009175.3	73637000	73757000	['INTERGENIC_REGION']	0.79855664	4.296113101313528	73683000
228	NC_009175.3	73894000	73906000	['INTERGENIC_REGION']	0.74023618	3.6788492736236527	73902000
229	NC_009175.3	76766000	76771000	['INTERGENIC_REGION']	0.7349759	3.62317446297366	76770000
230	NC_009175.3	76774000	76809000	['INTERGENIC_REGION']	0.76223609	3.911696350883208	76787000
231	NC_009175.3	77885000	77885000	['INTERGENIC_REGION']	0.72357803	3.5025393914445315	77885000
232	NC_009175.3	86746000	86781000	['INTERGENIC_REGION', 'IL1RAPL2']	0.76874517	3.9805884624258736	86756000
233	NC_009175.3	90748000	90748000	['LOC111771635']	0.72651292	3.5336022711825987	90748000
234	NC_009175.3	90750000	90758000	['INTERGENIC_REGION']	0.7471661	3.7521955562967433	90756000
235	NC_009175.3	90765000	90765000	['INTERGENIC_REGION']	0.72452828	3.512596838732539	90765000
236	NC_009175.3	90768000	90787000	['INTERGENIC_REGION']	0.73965015	3.672646731309324	90773000
237	NC_009175.3	93654000	93747000	['INTERGENIC_REGION']	0.85922885	4.93826785419106	93691000
238	NC_009175.3	93959000	93987000	['INTERGENIC_REGION']	0.78325031	4.134110883846718	93970000
239	NC_009175.3	94354000	94409000	['INTERGENIC_REGION']	0.77510184	4.047867466321958	94390000
240	NC_009175.3	94412000	94412000	['INTERGENIC_REGION']	0.72818156	3.55126315920434	94412000
241	NC_009175.3	94786000	94786000	['INTERGENIC_REGION']	0.73290233	3.6012277952830605	94786000
242	NC_009175.3	94806000	94806000	['INTERGENIC_REGION']	0.72451557	3.5124623160753115	94806000
243	NC_009175.3	94904000	94931000	['INTERGENIC_REGION', 'HTR2C']	0.76838217	3.9767464699338486	94915000
244	NC_009175.3	95004000	95006000	['INTERGENIC_REGION']	0.73971628	3.673346651318959	95005000
245	NC_009175.3	95161000	95163000	['INTERGENIC_REGION']	0.73746661	3.6495361409896674	95163000
246	NC_009175.3	95165000	95212000	['INTERGENIC_REGION', 'IL13RA2']	0.7977401	4.287470840846757	95196000
247	NC_009175.3	95214000	95216000	['IL13RA2']	0.73791803	3.6543139708815393	95214000
248	NC_009175.3	95491000	95492000	['LOC102149431']	0.72727631	3.5416819919773284	95491000
249	NC_009175.3	95498000	95499000	['LOC102149431']	0.72373957	3.5042491310234896	95498000
250	NC_009175.3	96003000	96004000	['INTERGENIC_REGION']	0.72997256	3.5702191056319332	96004000
251	NC_009175.3	96006000	96008000	['INTERGENIC_REGION']	0.72818329	3.551281469526685	96008000
252	NC_009175.3	96038000	96084000	['INTERGENIC_REGION']	0.7637459	3.927676181969664	96055000
253	NC_009175.3	96312000	96357000	['INTERGENIC_REGION']	0.75588864	3.84451493147962	96346000
254	NC_009175.3	96622000	96661000	['INTERGENIC_REGION']	0.75689961	3.855215039329929	96646000
255	NC_009175.3	97205000	97250000	['INTERGENIC_REGION']	0.76031056	3.891316538753266	97214000
256	NC_009175.3	97876000	97876000	['INTERGENIC_REGION']	0.72346231	3.501314610807681	97876000
257	NC_009175.3	98354000	98354000	['STAG2']	0.72461242	3.5134873766065864	98354000
258	NC_009175.3	102568000	102570000	['STAG2']	0.73934107	3.669375428170385	102570000
259	NC_009175.3	102587000	102607000	['STAG2']	0.75457616	3.830623641380633	102602000
260	NC_009175.3	103125000	103159000	['TENM1']	0.74418701	3.7206648636987647	103156000
261	NC_009175.3	103193000	103194000	['TENM1']	0.72591838	3.5273096590167348	103194000
262	NC_009175.3	103196000	103201000	['TENM1']	0.74350772	3.713475257418028	103200000
263	NC_009175.3	103203000	103203000	['TENM1']	0.7240246	3.507265888929831	103203000
264	NC_009175.3	103208000	103227000	['TENM1']	0.73987862	3.6750648580990015	103219000
265	NC_009175.3	103231000	103232000	['TENM1']	0.72543697	3.5222144149242127	103232000
266	NC_009175.3	103234000	103234000	['TENM1']	0.72832608	3.552792759080228	103234000
267	NC_009175.3	103252000	103257000	['TENM1']	0.73439066	3.6169802820204016	103252000
268	NC_009175.3	103262000	103262000	['TENM1']	0.72513586	3.5190274662760763	103262000
269	NC_009175.3	103289000	103289000	['TENM1']	0.72537946	3.5216057290062617	103289000
270	NC_009175.3	103362000	103417000	['TENM1']	0.77259302	4.021314112041402	103399000
271	NC_009175.3	103495000	103504000	['TENM1']	0.73845722	3.6600207585723794	103502000
272	NC_009175.3	104822000	104825000	['INTERGENIC_REGION']	0.72865728	3.5562981803291493	104824000
273	NC_009175.3	104827000	104831000	['INTERGENIC_REGION']	0.72699504	3.5387050299160836	104827000
274	NC_009175.3	104834000	104840000	['INTERGENIC_REGION']	0.72713855	3.5402239399506032	104837000
275	NC_009175.3	105212000	105242000	['INTERGENIC_REGION']	0.84634797	4.801936602811801	105216000
276	NC_009175.3	105723000	105723000	['INTERGENIC_REGION']	0.72476497	3.5151019660133573	105723000
277	NC_009175.3	105726000	105728000	['INTERGENIC_REGION']	0.72680993	3.5367458254251787	105727000
